"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2023","80.53","80.59","80.62","80.25","","-0.02%"
"12/30/2022","80.55","78.69","80.66","77.81","","2.39%"
"12/29/2022","78.67","78.69","78.91","76.89","","0.00%"
"12/28/2022","78.67","79.83","79.95","77.40","","-1.47%"
"12/27/2022","79.84","81.06","81.26","79.27","","-1.51%"
"12/26/2022","81.06","80.08","81.14","80.08","","2.04%"
"12/23/2022","79.44","78.56","80.42","78.09","","1.12%"
"12/22/2022","78.56","78.58","79.98","77.14","","-0.04%"
"12/21/2022","78.59","76.28","78.72","75.92","","3.04%"
"12/20/2022","76.27","75.98","77.04","74.58","","0.36%"
"12/19/2022","76.00","75.23","76.74","74.14","","1.04%"
"12/18/2022","75.22","74.58","75.25","74.50","","0.66%"
"12/16/2022","74.73","76.38","76.70","73.55","","-2.19%"
"12/15/2022","76.40","77.42","77.95","75.56","","-1.34%"
"12/14/2022","77.44","75.36","77.89","75.09","","2.76%"
"12/13/2022","75.36","73.59","76.53","73.39","","2.38%"
"12/12/2022","73.61","72.08","74.17","70.44","","2.12%"
"12/11/2022","72.08","71.97","72.51","71.83","","0.46%"
"12/09/2022","71.75","72.31","73.16","70.37","","-0.80%"
"12/08/2022","72.33","72.84","75.70","71.42","","-0.73%"
"12/07/2022","72.86","74.78","75.69","72.07","","-2.57%"
"12/06/2022","74.78","77.75","78.22","73.76","","-3.81%"
"12/05/2022","77.74","81.55","83.11","77.16","","-4.65%"
"12/04/2022","81.53","80.62","81.67","80.28","","0.95%"
"12/02/2022","80.76","81.78","82.67","80.12","","-1.27%"
"12/01/2022","81.80","81.03","83.83","80.42","","0.93%"
"11/30/2022","81.05","79.25","81.86","78.91","","2.28%"
"11/29/2022","79.24","77.03","80.09","76.81","","2.84%"
"11/28/2022","77.05","76.58","78.37","74.11","","0.60%"
"11/27/2022","76.59","76.94","77.02","76.38","","-0.73%"
"11/25/2022","77.15","78.58","80.52","76.83","","-1.79%"
"11/24/2022","78.56","78.16","78.83","77.53","","0.54%"
"11/23/2022","78.14","82.00","82.64","77.50","","-4.71%"
"11/22/2022","82.00","81.03","83.08","80.56","","1.16%"
"11/21/2022","81.06","80.92","81.19","75.97","","0.17%"
"11/20/2022","80.92","80.99","81.17","80.89","","-0.17%"
"11/18/2022","81.06","83.02","83.25","78.39","","-1.99%"
"11/17/2022","82.71","85.66","85.72","82.03","","-3.35%"
"11/16/2022","85.58","87.56","87.81","84.58","","-2.25%"
"11/15/2022","87.55","85.58","88.97","84.47","","2.31%"
"11/14/2022","85.57","89.98","90.11","85.47","","-4.92%"
"11/13/2022","90.00","89.20","90.06","89.02","","0.86%"
"11/11/2022","89.23","86.72","90.46","86.69","","2.93%"
"11/10/2022","86.69","86.17","87.70","85.11","","0.58%"
"11/09/2022","86.19","89.48","89.53","85.92","","-3.70%"
"11/08/2022","89.50","92.39","92.64","88.86","","-3.13%"
"11/07/2022","92.39","91.19","94.27","91.17","","1.32%"
"11/06/2022","91.19","91.53","91.55","90.97","","-2.16%"
"11/04/2022","93.20","88.61","93.46","88.44","","5.17%"
"11/03/2022","88.62","89.59","90.30","88.24","","-1.10%"
"11/02/2022","89.61","89.34","91.00","88.44","","0.28%"
"11/01/2022","89.36","86.81","90.12","86.59","","2.85%"
"10/31/2022","86.88","89.11","89.28","86.01","","-2.50%"
"10/30/2022","89.11","89.14","89.22","88.92","","-0.10%"
"10/28/2022","89.20","89.42","89.56","87.92","","-0.25%"
"10/27/2022","89.42","89.06","90.67","88.22","","0.44%"
"10/26/2022","89.03","85.59","89.28","85.03","","3.86%"
"10/25/2022","85.72","85.73","86.92","83.94","","-0.06%"
"10/24/2022","85.77","86.31","86.78","83.56","","-0.59%"
"10/23/2022","86.28","86.08","86.56","86.03","","0.14%"
"10/21/2022","86.16","85.61","86.92","84.16","","0.63%"
"10/20/2022","85.62","85.84","88.22","85.21","","-0.28%"
"10/19/2022","85.86","84.11","86.11","82.78","","1.98%"
"10/18/2022","84.19","86.08","86.66","82.42","","-2.17%"
"10/17/2022","86.06","86.38","87.34","84.86","","-0.35%"
"10/16/2022","86.36","85.75","86.42","85.69","","0.64%"
"10/14/2022","85.81","89.08","89.81","85.48","","-3.74%"
"10/13/2022","89.14","87.36","89.80","85.71","","2.06%"
"10/12/2022","87.34","88.83","90.22","86.47","","-1.66%"
"10/11/2022","88.81","90.93","91.52","88.09","","-2.35%"
"10/10/2022","90.95","92.86","93.82","90.75","","-2.04%"
